"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 14 17:16:50 IST 2024","Thu Mar 14 17:16:51 IST 2024","868","","Home page","","","","Should accept cookies",""
"passed","Thu Mar 14 17:16:56 IST 2024","Thu Mar 14 17:16:57 IST 2024","530","","Home page","","","","Should accept cookies",""
"failed","Thu Mar 14 17:16:51 IST 2024","Thu Mar 14 17:17:03 IST 2024","12839","","Home page","","","","Should validate and move to the next page",""
"passed","Thu Mar 14 17:17:03 IST 2024","Thu Mar 14 17:17:04 IST 2024","103","","Home page","","","","""after all"" hook for Home page",""
"passed","Thu Mar 14 17:16:48 IST 2024","Thu Mar 14 17:16:56 IST 2024","8301","","Home page","","","","""before all"" hook for Home page",""
"skipped","Thu Mar 14 17:16:56 IST 2024","Thu Mar 14 17:16:56 IST 2024","1","","Home page","","","","Should click cookies setting",""
"skipped","Thu Mar 14 17:16:56 IST 2024","Thu Mar 14 17:16:56 IST 2024","0","","Home page","","","","Should decline cookies",""
"passed","Thu Mar 14 17:17:09 IST 2024","Thu Mar 14 17:17:09 IST 2024","23","","Home page","","","","""after all"" hook for Home page",""
"failed","Thu Mar 14 17:16:57 IST 2024","Thu Mar 14 17:17:09 IST 2024","12641","","Home page","","","","Should validate and move to the next page",""
"skipped","Thu Mar 14 17:16:50 IST 2024","Thu Mar 14 17:16:50 IST 2024","0","","Home page","","","","Should decline cookies",""
"passed","Thu Mar 14 17:16:42 IST 2024","Thu Mar 14 17:16:50 IST 2024","7530","","Home page","","","","""before all"" hook for Home page",""
"skipped","Thu Mar 14 17:16:50 IST 2024","Thu Mar 14 17:16:50 IST 2024","2","","Home page","","","","Should click cookies setting",""
